protocol,scenario,server_host,server_port,session_id,message_count,payload_size,window_size,attack_type,repeat_id,server_reachable,sent_count,accepted_count,rejected_count,timeout_count,recovery_success,attack_detected,detection_result,detection_reason,avg_rtt_ms,min_rtt_ms,max_rtt_ms,p50_rtt_ms,p95_rtt_ms,elapsed_ms,throughput_msg_per_s,final_client_mem,final_server_mem,final_client_mem_short,final_server_mem_short,memory_match,memory_verified,server_last_seq,seq_consistent
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m1000-p128-w1-r1-1781487363937091,1000,128,1,drop,1,True,50,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.0804,0.0529,0.1812,0.0719,0.1224,4.9257,9947.77,e917140caaebd71f0098b36a53d9903b57dd979cb7d025ffca37fb12884df723,e917140caaebd71f0098b36a53d9903b57dd979cb7d025ffca37fb12884df723,e917140caaebd71f,e917140caaebd71f,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m1000-p128-w5-r1-1781487363942412,1000,128,5,drop,1,True,54,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.1502,0.1059,0.344,0.132,0.307,1.8549,26416.57,59854c63c12d354c601ccf59b6d6b0de75a23bd7ac75f09ac9ff88cf9472ec0b,59854c63c12d354c601ccf59b6d6b0de75a23bd7ac75f09ac9ff88cf9472ec0b,59854c63c12d354c,59854c63c12d354c,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m1000-p128-w10-r1-1781487363944582,1000,128,10,drop,1,True,59,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.2399,0.216,0.3021,0.2298,0.2967,1.5621,31367.66,444ab6dfe9f4409a4287b4f84ed072b70e5f606c0c615bbf2c189afe9c5354b8,444ab6dfe9f4409a4287b4f84ed072b70e5f606c0c615bbf2c189afe9c5354b8,444ab6dfe9f4409a,444ab6dfe9f4409a,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m1000-p512-w1-r1-1781487363946433,1000,512,1,drop,1,True,50,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.0723,0.0541,0.1411,0.065,0.1101,4.5581,10750.13,0db105276d55a488459e41db453beb738923f708beea94f0fa4993724ad3d731,0db105276d55a488459e41db453beb738923f708beea94f0fa4993724ad3d731,0db105276d55a488,0db105276d55a488,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m1000-p512-w5-r1-1781487363951315,1000,512,5,drop,1,True,54,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.1369,0.1159,0.2019,0.1293,0.1892,1.7319,28293.07,c7cf17fdb83f4b800f77307d4fa141395c41ec106568444776be990f65d90b23,c7cf17fdb83f4b800f77307d4fa141395c41ec106568444776be990f65d90b23,c7cf17fdb83f4b80,c7cf17fdb83f4b80,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-drop-m1000-p512-w10-r1-1781487363953381,1000,512,10,drop,1,True,59,49,1,0,False,True,detected,"seq gap detected: expected 50, got 51",0.2496,0.231,0.2749,0.2505,0.2625,1.6592,29533.11,2a6bf3ec705e291079860fa4da1520dde960fda9b2ac3e8e1d6b42aef93d617b,2a6bf3ec705e291079860fa4da1520dde960fda9b2ac3e8e1d6b42aef93d617b,2a6bf3ec705e2910,2a6bf3ec705e2910,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-modify-m100-p128-w1-r1-1781487363955273,100,128,1,modify,1,True,50,49,1,0,False,True,detected,auth_tag verification failed,0.0737,0.0508,0.268,0.0631,0.1075,4.4529,11003.96,c61b69d6aa4f53142d159eaa035fe0d0748940f20e0972db1b76f4a68e790364,c61b69d6aa4f53142d159eaa035fe0d0748940f20e0972db1b76f4a68e790364,c61b69d6aa4f5314,c61b69d6aa4f5314,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-modify-m100-p128-w5-r1-1781487363960051,100,128,5,modify,1,True,54,49,1,0,False,True,detected,auth_tag verification failed,0.1312,0.0989,0.2317,0.1204,0.2059,1.6272,30112.95,6098bd3703ccfffc84868c561dc6caf46e7b5c3b3712b7762ec871d08a791a56,6098bd3703ccfffc84868c561dc6caf46e7b5c3b3712b7762ec871d08a791a56,6098bd3703ccfffc,6098bd3703ccfffc,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-modify-m100-p128-w10-r1-1781487363962014,100,128,10,modify,1,True,59,49,1,0,False,True,detected,auth_tag verification failed,0.2333,0.2189,0.2592,0.2329,0.2461,1.514,32365.5,11b4fd6445429827b3f5afb8f68fe408917b1c4c3e0a729510ec672f28e0f14f,11b4fd6445429827b3f5afb8f68fe408917b1c4c3e0a729510ec672f28e0f14f,11b4fd6445429827,11b4fd6445429827,True,False,49,True
gmcp_r,real_tcp_network_window_memory,127.0.0.1,9010,real-tcp-modify-m100-p512-w1-r1-1781487363963790,100,512,1,modify,1,True,50,49,1,0,False,True,detected,auth_tag verification failed,0.0738,0.042,0.1748,0.0634,0.1278,4.6127,10622.88,d3fa0179162d8f8dfd302344fb400c7b09e204a7f86cf849d15b7d00db5da3d8,d3fa0179162d8f8dfd302344fb400c7b09e204a7f86cf849d15b7d00db5da3d8,d3fa0179162d8f8d,d3fa0179162d8f8d,True,False,49,True
