scenario,checkpoint_interval,payload_size,repeat_id,ticket_seq,client_seq,server_seq,recovery_floor,ticket_last_seq,server_last_seq_before,server_last_seq_after,server_last_mem_before,server_last_mem_after,request_auth_ok,response_auth_ok,response_verify_reason,nonce_match,nonce_consumed,race_winner_count,state_unchanged,success,reason,recovery_latency_ms
old_ticket_within_window,50,128,12,100,100,149,100,100,149,149,2fa86595cad0ad48847df184a057dbe88f7a8470d6938946df955ccd7f3c7824,2fa86595cad0ad48847df184a057dbe88f7a8470d6938946df955ccd7f3c7824,True,True,ok,True,True,0,True,True,ok,0.209
below_floor,50,128,12,100,100,200,200,100,200,200,4bac71f94af538323e646c7ad5fd0578f1ee60f611f2978ea422fc09325ee390,4bac71f94af538323e646c7ad5fd0578f1ee60f611f2978ea422fc09325ee390,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.143
control,50,128,13,100,100,100,100,100,100,100,2dee1d88ad24867ab41923f6ba2aec4fdfb5d19d727735aeb4bf6aba0fd34cc0,2dee1d88ad24867ab41923f6ba2aec4fdfb5d19d727735aeb4bf6aba0fd34cc0,True,True,ok,True,True,0,True,True,ok,0.193
ack_loss,50,128,13,100,100,149,100,100,149,149,d162991c9940e2582cd7b40a5d1713d25126f42baa3183512f792ec5f5a6eff0,d162991c9940e2582cd7b40a5d1713d25126f42baa3183512f792ec5f5a6eff0,True,True,ok,True,True,0,True,True,ok,0.199
old_ticket_within_window,50,128,13,100,100,149,100,100,149,149,8296d169a1ca0a121e5a5fb16a843b16bc30ca9844f8446ebe44bfdc7b397e20,8296d169a1ca0a121e5a5fb16a843b16bc30ca9844f8446ebe44bfdc7b397e20,True,True,ok,True,True,0,True,True,ok,0.201
below_floor,50,128,13,100,100,200,200,100,200,200,7aa87995c23c093f477ff9f1a5777cc1da5b2c389e488ea647b944bbcef51f91,7aa87995c23c093f477ff9f1a5777cc1da5b2c389e488ea647b944bbcef51f91,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.133
control,50,128,14,100,100,100,100,100,100,100,9d8e86efe9814fdcc8ba0cc957af82fd4b1b18d32bfcb880c64cc8de15104d2e,9d8e86efe9814fdcc8ba0cc957af82fd4b1b18d32bfcb880c64cc8de15104d2e,True,True,ok,True,True,0,True,True,ok,0.19
ack_loss,50,128,14,100,100,149,100,100,149,149,b2a179b17ee0fcc2e6dc62c08a3e34270e0f4c4e2229292827f61308cc08d0f8,b2a179b17ee0fcc2e6dc62c08a3e34270e0f4c4e2229292827f61308cc08d0f8,True,True,ok,True,True,0,True,True,ok,0.224
old_ticket_within_window,50,128,14,100,100,149,100,100,149,149,7c7cca79ffd929165325c99eb368b6eecf2d2dbebf02b4d3bdf901a25256dd21,7c7cca79ffd929165325c99eb368b6eecf2d2dbebf02b4d3bdf901a25256dd21,True,True,ok,True,True,0,True,True,ok,0.18
below_floor,50,128,14,100,100,200,200,100,200,200,e2856282b962b6281f10b1ed66b20e25f9cae3d673471eb0101cda4453dff9df,e2856282b962b6281f10b1ed66b20e25f9cae3d673471eb0101cda4453dff9df,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.149
control,50,128,15,100,100,100,100,100,100,100,91244b6f39edbcbb0e179679c664c770d43d47d1eb9742df97521f7436fc3a9b,91244b6f39edbcbb0e179679c664c770d43d47d1eb9742df97521f7436fc3a9b,True,True,ok,True,True,0,True,True,ok,0.257
ack_loss,50,128,15,100,100,149,100,100,149,149,c3ec59b195d76da1b18a01adc7af8cb5885249b8d4a97cdf5e2708f3108c3943,c3ec59b195d76da1b18a01adc7af8cb5885249b8d4a97cdf5e2708f3108c3943,True,True,ok,True,True,0,True,True,ok,0.176
