protocol,scenario,server_host,server_port,session_id,attack_type,message_count,payload_size,repeat_id,attack_seq,sent_count,accepted_count,rejected_count,timeout_count,attack_detected,recovery_requested,recovery_success,full_recovery_success,pre_recovery_accepted,post_recovery_accepted,recovery_point_seq,recovery_latency_ms,recovery_extra_messages,recovery_extra_bytes,elapsed_ms,throughput_msg_per_s,final_client_mem,final_server_mem,final_client_mem_short,final_server_mem_short,memory_match_after_recovery,server_last_seq,final_seq_consistent,ticket_verified,ticket_nonce,ticket_expired,ticket_replay_detected,submitted_ticket_present,submitted_ticket_seq,submitted_ticket_nonce,server_ticket_verified,replacement_ticket_verified,response_state_match,detection_reason,recovery_reason,recovery_mode
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p512-r1-1783186931196346,drop,200,512,1,101,201,200,1,0,True,True,True,True,100,100,100,0.2069,2,1973,17.6551,11328.15,2aff2106ddc32d629e7f9508061e2b088b670e5c318f7024b81129a859349219,2aff2106ddc32d629e7f9508061e2b088b670e5c318f7024b81129a859349219,2aff2106ddc32d62,2aff2106ddc32d62,True,200,True,True,e63922b7f28063d21fa9bcc7704b87ec,False,False,True,100,00fb896b3f61fc74c0cc96cef1f5fa07,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p512-r2-1783186931214061,drop,200,512,2,101,201,200,1,0,True,True,True,True,100,100,100,0.1822,2,1973,18.0922,11054.51,c316b71893f8aaf2db63524b135dc2456de4be1a6c7f28c394da7c17da4a36bc,c316b71893f8aaf2db63524b135dc2456de4be1a6c7f28c394da7c17da4a36bc,c316b71893f8aaf2,c316b71893f8aaf2,True,200,True,True,f6da295edc6970fe60a03f0d832f9f80,False,False,True,100,fafdfb937400e0cdb64c0833516ec9c2,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p512-r3-1783186931232207,drop,200,512,3,101,201,200,1,0,True,True,True,True,100,100,100,0.299,2,1970,18.7161,10685.99,67b80ced4dd54d7c2b466a9c518223d3ca962d35b22b3cceba1d7467dd3aefd2,67b80ced4dd54d7c2b466a9c518223d3ca962d35b22b3cceba1d7467dd3aefd2,67b80ced4dd54d7c,67b80ced4dd54d7c,True,200,True,True,6c95436fe1ebdc1cd2e32339b43995da,False,False,True,100,494ea9e3e5752cf63b324c6035c5a2ec,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p512-r4-1783186931250986,drop,200,512,4,101,201,200,1,0,True,True,True,True,100,100,100,0.1931,2,1970,18.1429,11023.57,a524b5e7c7283bccc5e8da7895ed25435f342da2625800a90953f864ceb7e8b2,a524b5e7c7283bccc5e8da7895ed25435f342da2625800a90953f864ceb7e8b2,a524b5e7c7283bcc,a524b5e7c7283bcc,True,200,True,True,90e154d84cb93caa23bd0b87adaf5b2a,False,False,True,100,b4b5b1b5f8a42f34115854bd67febbec,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p512-r5-1783186931269186,drop,200,512,5,101,201,200,1,0,True,True,True,True,100,100,100,0.2701,2,1971,18.0922,11054.51,ce4be3a05f587f4c3f7e7d183d5c7ab2be87474d7da46c1b8d821be736e73611,ce4be3a05f587f4c3f7e7d183d5c7ab2be87474d7da46c1b8d821be736e73611,ce4be3a05f587f4c,ce4be3a05f587f4c,True,200,True,True,9926ed2d0f25fd96fcd06f1b920a860b,False,False,True,100,f8f33b4b71e1c889568353ff852f57c8,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p512-r6-1783186931287334,drop,200,512,6,101,201,200,1,0,True,True,True,True,100,100,100,0.2301,2,1973,17.746,11270.16,c30a95920e63409906773fb437da79401adb0bd7eb7ce113757c50bb4b6eceaa,c30a95920e63409906773fb437da79401adb0bd7eb7ce113757c50bb4b6eceaa,c30a95920e634099,c30a95920e634099,True,200,True,True,86081fd6c5c1110e0042459370bb472e,False,False,True,100,3ae7878ca64ae56f1a9b9fdbef5bca4a,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p512-r7-1783186931305135,drop,200,512,7,101,201,200,1,0,True,True,True,True,100,100,100,0.2141,2,1973,18.7364,10674.43,86d2b4d39a141e87124280d580a255020ad174c5b14f148bde1b3a882191ed53,86d2b4d39a141e87124280d580a255020ad174c5b14f148bde1b3a882191ed53,86d2b4d39a141e87,86d2b4d39a141e87,True,200,True,True,73984cc48b28fadcb79698fcc0b07d84,False,False,True,100,8331ccf4f4babcf7e1c5ee5e06b1e746,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p512-r8-1783186931323933,drop,200,512,8,101,201,200,1,0,True,True,True,True,100,100,100,0.268,2,1972,17.8189,11224.02,b44c78a4bc97e9ae93c2f5fbd10e52c0236aff291c88fee893ed72c68752867e,b44c78a4bc97e9ae93c2f5fbd10e52c0236aff291c88fee893ed72c68752867e,b44c78a4bc97e9ae,b44c78a4bc97e9ae,True,200,True,True,6b7712200aa9c274ee4da91702fb3ae6,False,False,True,100,78769194bc3860c98c0454eab14bb7a3,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p512-r9-1783186931341816,drop,200,512,9,101,201,200,1,0,True,True,True,True,100,100,100,0.2229,2,1969,18.306,10925.37,482001b0f8dd488ec68d64e1e71745888094b4ccb7c9dad38c8d66d1825bb8a9,482001b0f8dd488ec68d64e1e71745888094b4ccb7c9dad38c8d66d1825bb8a9,482001b0f8dd488e,482001b0f8dd488e,True,200,True,True,380a8af72415354c81f1abb3630ac83f,False,False,True,100,b61a09ad492be8a2a75756e51f0959c0,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
gmcp_r,real_attack_recovery,127.0.0.1,9000,real-recovery-drop-m200-p512-r10-1783186931360186,drop,200,512,10,101,201,200,1,0,True,True,True,True,100,100,100,0.2201,2,1978,17.9811,11122.82,e081e7a0d6949cf908b409c2355ae39c1f56752ec8d623c472243b0a99ae7172,e081e7a0d6949cf908b409c2355ae39c1f56752ec8d623c472243b0a99ae7172,e081e7a0d6949cf9,e081e7a0d6949cf9,True,200,True,True,e2f3590c5ac57aa252ed00c1488c992d,False,False,True,100,05479455694253a57557b570efbcce34,True,True,True,"seq gap detected: expected 101, got 102",ok,memory_ticket_checkpoint
